Transaction_ID,Date,Time,Sender_Bank,Receiver_Bank,UPI_App,Transaction_Type,Amount_INR,Status,Failure_Reason,City,Device_Type,Response_Time_ms,Is_Weekend
UPI100000001,2025-04-13,04:23:15,Union Bank,Canara Bank,Amazon Pay,Merchant Payment,264.44,Failed,Duplicate Transaction,Ahmedabad,iOS,374,True
UPI100000002,2025-12-26,04:27:03,ICICI,Kotak Mahindra,Amazon Pay,P2M,1930.19,Reversed,Bank Server Down,Kolkata,Android,818,False
UPI100000003,2025-11-10,07:58:13,IDBI Bank,Yes Bank,Google Pay,Bill Payment,1429.56,Failed,Account Blocked/Frozen,Kolkata,iOS,261,False
UPI100000004,2025-06-24,09:56:13,ICICI,IDBI Bank,CRED,Recharge,1356.26,Failed,Incorrect UPI PIN,Pune,Android,528,False
UPI100000005,2025-10-01,02:57:07,Yes Bank,IDBI Bank,WhatsApp Pay,P2M,740.22,Failed,Bank Server Down,Delhi,iOS,514,False
UPI100000006,2025-09-21,22:14:37,SBI,Axis Bank,PhonePe,Recharge,570.32,Success,NA,Lucknow,iOS,213,True
UPI100000007,2025-07-10,20:06:49,IDBI Bank,HDFC,PhonePe,Fund Transfer,3928.95,Success,NA,Hyderabad,iOS,224,False
UPI100000008,2025-07-09,15:26:31,Punjab National Bank,HDFC,CRED,Merchant Payment,1335.56,Reversed,Duplicate Transaction,Jaipur,Android,1346,False
UPI100000009,2025-03-06,13:36:24,Bank of Baroda,Yes Bank,Mobikwik,P2P,342.31,Failed,Duplicate Transaction,Chandigarh,Android,1044,False
UPI100000010,2025-10-16,03:31:06,Punjab National Bank,IndusInd Bank,CRED,P2M,194.73,Pending,NA,Hyderabad,iOS,371,False
UPI100000011,2025-02-17,09:47:02,Canara Bank,Punjab National Bank,Paytm,Recharge,1532.33,Pending,NA,Amritsar,Android,151,False
UPI100000012,2025-05-11,14:43:12,Punjab National Bank,IndusInd Bank,CRED,Fund Transfer,1031.22,Success,NA,Lucknow,iOS,512,True
UPI100000013,2025-06-28,13:53:35,Bank of Baroda,SBI,BHIM,Merchant Payment,1075.66,Pending,NA,Pune,Android,472,True
UPI100000014,2025-06-20,09:23:47,Bank of Baroda,Union Bank,Paytm,Fund Transfer,3196.25,Success,NA,Jalandhar,Android,139,False
UPI100000015,2025-10-11,19:12:43,Axis Bank,Union Bank,Mobikwik,P2M,205.31,Success,NA,Jalandhar,Android,304,True
UPI100000016,2025-10-10,17:02:53,Yes Bank,Axis Bank,Amazon Pay,P2P,555.29,Failed,Duplicate Transaction,Jaipur,iOS,250,False
UPI100000017,2025-11-03,03:45:45,IDBI Bank,Canara Bank,CRED,Bill Payment,595.58,Success,NA,Jaipur,iOS,411,False
UPI100000018,2025-02-21,23:06:51,Bank of Baroda,HDFC,Paytm,P2P,250.41,Reversed,NPCI Switch Error,Amritsar,iOS,608,False
UPI100000019,2025-02-23,00:14:14,Punjab National Bank,SBI,Google Pay,Bill Payment,1722.46,Success,NA,Lucknow,iOS,693,True
UPI100000020,2025-09-04,19:34:27,Bank of Baroda,Union Bank,Mobikwik,Bill Payment,425.92,Success,NA,Mumbai,iOS,3329,False
UPI100000021,2025-08-28,06:17:51,SBI,Yes Bank,BHIM,Bill Payment,319.65,Failed,Network Timeout,Kolkata,Android,249,False
UPI100000022,2025-12-12,09:39:14,ICICI,Axis Bank,Mobikwik,Recharge,4243.26,Success,NA,Pune,iOS,1504,False
UPI100000023,2025-09-24,02:15:55,Yes Bank,Yes Bank,PhonePe,Fund Transfer,1795.03,Failed,NPCI Switch Error,Jaipur,iOS,653,False
UPI100000024,2025-01-02,08:46:56,IDBI Bank,Punjab National Bank,Amazon Pay,Bill Payment,323.69,Failed,Incorrect UPI PIN,Chandigarh,iOS,1794,False
UPI100000025,2025-04-30,16:24:00,Canara Bank,Axis Bank,Paytm,P2P,274.44,Pending,NA,Delhi,iOS,57,False
UPI100000026,2025-04-09,00:36:40,HDFC,HDFC,PhonePe,Fund Transfer,902.46,Reversed,Duplicate Transaction,Delhi,Android,594,False
UPI100000027,2025-10-31,01:06:27,Canara Bank,Canara Bank,CRED,Bill Payment,1617.72,Success,NA,Kolkata,Android,416,False
UPI100000028,2025-01-22,01:54:53,Kotak Mahindra,Kotak Mahindra,Amazon Pay,Bill Payment,3349.08,Success,NA,Ludhiana,Android,608,False
UPI100000029,2025-10-11,11:03:10,SBI,Punjab National Bank,BHIM,Merchant Payment,1047.3,Success,NA,Amritsar,iOS,205,True
UPI100000030,2025-08-08,05:09:49,Punjab National Bank,Kotak Mahindra,Paytm,Recharge,33.37,Pending,NA,Amritsar,iOS,2770,False
UPI100000031,2025-04-09,18:23:55,SBI,Axis Bank,CRED,Merchant Payment,739.44,Pending,NA,Chandigarh,iOS,423,False
UPI100000032,2025-08-11,06:24:53,IndusInd Bank,ICICI,Mobikwik,Fund Transfer,163.34,Success,NA,Bengaluru,Android,170,False
UPI100000033,2025-06-04,02:58:49,HDFC,IndusInd Bank,Google Pay,P2P,230.35,Success,NA,Pune,Android,331,False
UPI100000034,2025-01-26,14:09:53,Yes Bank,Canara Bank,Amazon Pay,Recharge,1084.14,Success,NA,Patiala,iOS,889,True
UPI100000035,2025-05-22,15:29:26,IDBI Bank,HDFC,PhonePe,Fund Transfer,606.59,Failed,Invalid VPA,Lucknow,iOS,74,False
UPI100000036,2025-06-29,19:31:53,Kotak Mahindra,Kotak Mahindra,Paytm,Recharge,603.24,Success,NA,Kolkata,iOS,2737,True
UPI100000037,2025-04-13,15:00:21,Axis Bank,ICICI,CRED,Recharge,223.63,Reversed,Bank Server Down,Jalandhar,Android,1318,True
UPI100000038,2025-11-15,22:07:14,IDBI Bank,IndusInd Bank,CRED,P2M,48.52,Reversed,NPCI Switch Error,Jaipur,iOS,470,True
UPI100000039,2025-02-27,04:41:36,HDFC,Kotak Mahindra,Mobikwik,P2P,1629.09,Failed,Beneficiary Bank Unavailable,Mumbai,iOS,1097,False
UPI100000040,2025-03-17,18:40:15,ICICI,Punjab National Bank,WhatsApp Pay,P2P,637.55,Failed,Insufficient Balance,Jalandhar,iOS,3160,False
